Class 0
Day/Period,P1,P2,P3,P4,P5,P6
Monday,f1,f1,Calculus,Problem Solving with Computers (Lab 1),Problem Solving with Computers (Lab 1),Calculus
Tuesday,II Language,Software Lab in Python - I,Multidisciplinary Course,General English,Calculus,f1
Wednesday,II Language,Problem Solving with Computers,General English,Software Lab in Python - I (Lab 1),Software Lab in Python - I (Lab 1),Multidisciplinary Course
Thursday,foyer,Awareness,Calculus,Problem Solving with Computers,Problem Solving with Computers (Lab 1),Problem Solving with Computers (Lab 1)
Friday,Problem Solving with Computers (Lab 1),Problem Solving with Computers (Lab 1),General English,Multidisciplinary Course,f1,Software Lab in Python - I
Saturday,iic,iic,Problem Solving with Computers,II Language,Problem Solving with Computers,Awareness

Class 1
Day/Period,P1,P2,P3,P4,P5,P6
Monday,Multidisciplinary Course (Lab 1),Multidisciplinary Course (Lab 1),Computer Organization and design,General English,Computer Organization and design,f2
Tuesday,f2,f2,Multidisciplinary Course (Lab 1),Multidisciplinary Course (Lab 1),f2,f2
Wednesday,Statistics for Data Science,Computer Organization and design,Discrete Mathematics for Computer Science,f2,Statistics for Data Science,Awareness
Thursday,foyer,Computer Organization and design,Awareness,Statistics for Data Science,Computer Organization and design,General English
Friday,Discrete Mathematics for Computer Science,Statistics for Data Science,f2,f2,Discrete Mathematics for Computer Science,f2
Saturday,iic,iic,Discrete Mathematics for Computer Science,f2,Computer Organization and design,General English

Class 2
Day/Period,P1,P2,P3,P4,P5,P6
Monday,f3,Operating Systems,Computer Networks,Awareness,Optimization for Machine Learning,Datamining and Machine Learning
Tuesday,Computer Networks,Optimization for Machine Learning,Awareness,Datamining and Machine Learning,Datamining and Machine Learning,Optimization for Machine Learning
Wednesday,Computer Networks,Computer Networks,Computer Networks,Operating Systems,f3,Optimization for Machine Learning
Thursday,foyer,Operating Systems,Skill Enhancement Course (Lab 2),Skill Enhancement Course (Lab 2),Optimization for Machine Learning,Operating Systems
Friday,f3,Computer Networks,Datamining and Machine Learning,Computer Networks,Skill Enhancement Course (Lab 2),Skill Enhancement Course (Lab 2)
Saturday,iic,iic,f3,Datamining and Machine Learning,Skill Enhancement Course (Lab 2),Skill Enhancement Course (Lab 2)

Class 3
Day/Period,P1,P2,P3,P4,P5,P6
Monday,Elective - III,Cloud Computing,Elective - II,f4,Linux System Programming,Linux System Programming
Tuesday,f4,f4,Linux System Programming,Cloud Computing,f4,f4
Wednesday,f4,f4,f4,Research Methodology,f4,Elective - III
Thursday,foyer,Elective - III,Elective - II,f4,f4,Awareness
Friday,Awareness,Linux System Programming,Elective - III,Elective - II,Cloud Computing,Research Methodology
Saturday,iic,iic,f4,Cloud Computing,f4,Elective - II

Class 4
Day/Period,P1,P2,P3,P4,P5,P6
Monday,f5,Stochastic Processes,Deep Learning,Deep Learning,Deep Learning,f5
Tuesday,Natural Language Processing,Natural Language Processing,Cloud Computing,Awareness Course,Natural Language Processing,f5
Wednesday,f5,Stochastic Processes,f5,Cloud Computing,Cloud Computing,f5
Thursday,foyer,Deep Learning,Natural Language Processing,f5,Awareness Course,Stochastic Processes
Friday,Stochastic Processes,Cloud Computing,f5,Cloud Computing,Natural Language Processing,f5
Saturday,iic,iic,f5,f5,Stochastic Processes,Deep Learning

